open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720828800000,57870.00,57915.60,57807.90,57853.80,1333.117,1720829699999,77139395.32620,16311,479.872,27770445.76630,0
1720829700000,57853.90,57891.00,57738.30,57798.30,964.471,1720830599999,55761756.22550,14504,363.016,20990461.45840,0
1720830600000,57798.30,57847.60,57730.20,57804.40,524.818,1720831499999,30326488.71770,10713,236.881,13689310.52770,0
1720831500000,57804.50,57822.70,57776.50,57813.70,377.437,1720832399999,21815681.18590,7833,205.126,11856237.98310,0
1720832400000,57813.60,57919.90,57775.70,57909.00,770.724,1720833299999,44584768.80920,12578,472.624,27344707.69760,0
1720833300000,57909.10,57948.00,57850.00,57859.10,933.184,1720834199999,54040864.08180,13844,449.835,26050071.85880,0
1720834200000,57859.10,57872.70,57794.10,57860.20,717.993,1720835099999,41532595.40490,10563,484.422,28022526.09450,0
1720835100000,57860.20,57901.80,57825.40,57861.70,412.538,1720835999999,23870756.15300,7996,218.945,12668879.88100,0
1720836000000,57861.70,57861.70,57731.90,57788.60,582.318,1720836899999,33652603.97040,11083,189.073,10927566.89730,0
1720836900000,57788.60,57851.00,57750.00,57830.60,550.681,1720837799999,31831025.34610,9926,259.561,15005722.83970,0
1720837800000,57830.70,57911.10,57783.60,57881.20,508.902,1720838699999,29442914.83830,10457,248.032,14349086.71670,0
1720838700000,57881.20,57928.90,57875.70,57909.50,859.308,1720839599999,49760349.53350,10480,624.258,36149857.63640,0
1720839600000,57909.40,57962.80,57865.50,57884.00,799.082,1720840499999,46272663.64160,11867,420.747,24366293.50070,0
1720840500000,57883.80,57883.80,57819.50,57850.00,488.943,1720841399999,28287511.38560,8749,211.046,12210330.58810,0
1720841400000,57849.90,57860.00,57780.00,57817.80,716.242,1720842299999,41408564.65950,11039,350.939,20289059.97500,0
1720842300000,57817.80,57885.50,57760.00,57792.40,1065.795,1720843199999,61626617.88990,12969,419.946,24283146.40410,0
1720843200000,57792.50,57808.70,57744.90,57795.00,630.832,1720844099999,36449068.75480,10049,265.444,15337939.81340,0
1720844100000,57795.10,57815.00,57750.00,57773.00,463.360,1720844999999,26769003.95580,7648,237.830,13739166.67620,0
1720845000000,57773.00,57834.30,57750.70,57757.30,512.231,1720845899999,29597329.10790,8923,259.163,14975422.95650,0
1720845900000,57757.40,57804.90,57750.00,57755.10,360.917,1720846799999,20849211.85220,6326,163.912,9469591.00160,0
1720846800000,57755.00,57892.50,57728.60,57790.00,779.755,1720847699999,45072331.38040,12897,334.130,19316499.78380,0
1720847700000,57790.10,57925.00,57766.30,57905.60,1082.712,1720848599999,62669738.14670,14857,631.535,36553309.92990,0
1720848600000,57905.60,57933.90,57855.50,57911.00,892.615,1720849499999,51687883.02630,11232,619.981,35902103.14000,0
1720849500000,57911.00,58139.70,57858.30,58046.70,3184.981,1720850399999,184777560.68590,38350,2040.660,118379359.52490,0
1720850400000,58046.70,58080.00,57974.50,57979.60,962.572,1720851299999,55839610.35050,13882,431.772,25048756.88640,0
1720851300000,57979.60,58195.70,57972.70,58128.10,1564.637,1720852199999,90924414.22820,22212,1026.634,59658177.51460,0
1720852200000,58128.00,58157.00,58033.60,58040.10,867.110,1720853099999,50369917.50880,15662,327.583,19029566.66990,0
1720853100000,58040.10,58070.20,58000.00,58010.40,558.591,1720853999999,32410324.70470,10088,188.133,10915637.74010,0
1720854000000,58010.30,58067.70,57990.00,58067.60,752.393,1720854899999,43657576.77700,10688,416.994,24198828.97810,0
1720854900000,58067.70,58123.60,58013.00,58102.00,810.994,1720855799999,47086178.95040,11298,356.155,20676746.96220,0
1720855800000,58101.90,58124.90,58056.20,58096.70,601.924,1720856699999,34967877.84190,10948,293.984,17078347.41170,0
1720856700000,58096.60,58140.00,58058.90,58140.00,437.726,1720857599999,25427309.33880,8452,277.164,16101554.20710,0
1720857600000,58140.00,58191.10,58077.60,58100.00,668.329,1720858499999,38842127.97660,12242,336.480,19558424.17480,0
1720858500000,58100.00,58137.70,58088.00,58120.00,548.702,1720859399999,31887187.48410,8839,234.592,13632615.86040,0
1720859400000,58120.10,58120.10,58040.80,58041.10,510.682,1720860299999,29656334.92480,11641,173.531,10078031.19440,0
1720860300000,58041.10,58041.20,57917.90,57929.90,1084.112,1720861199999,62855537.70850,16556,237.184,13752315.18160,0
1720861200000,57929.90,57983.80,57882.30,57963.50,1017.565,1720862099999,58956896.13280,14085,481.844,27922185.11020,0
1720862100000,57963.50,58210.60,57950.00,58178.90,2430.824,1720862999999,141242180.87530,26597,1693.795,98413573.49740,0
1720863000000,58178.80,58381.30,58177.70,58328.40,5624.804,1720863899999,327958052.12340,55393,3416.398,199193669.40250,0
1720863900000,58328.30,58900.00,58272.90,58654.10,7852.221,1720864799999,459959333.70370,81333,4894.370,286705788.92290,0
1720864800000,58654.10,58733.10,58577.20,58694.50,3635.155,1720865699999,213219184.47790,41713,1780.271,104437668.21540,0
1720865700000,58694.40,58719.90,58628.30,58638.20,1418.384,1720866599999,83210141.86450,19363,615.939,36134374.37630,0
1720866600000,58638.10,58638.20,58350.00,58350.00,3259.388,1720867499999,190542578.19120,41692,1172.886,68559594.59940,0
1720867500000,58350.00,58465.00,58320.00,58410.40,1645.009,1720868399999,96050579.19010,21855,812.596,47454536.91770,0
1720868400000,58410.50,58430.00,58360.20,58381.10,789.049,1720869299999,46067482.43420,14079,333.078,19446465.93530,0
1720869300000,58381.00,58543.80,58352.40,58461.00,1562.518,1720870199999,91306818.47290,17264,1086.014,63469658.14470,0
1720870200000,58460.90,58581.60,58460.90,58529.20,1865.027,1720871099999,109142763.31190,19859,1013.779,59327584.46200,0
1720871100000,58529.10,58564.70,58491.20,58513.90,937.731,1720871999999,54874082.32140,13014,383.745,22457487.22820,0
1720872000000,58514.00,58536.70,58411.50,58421.90,1233.620,1720872899999,72116020.83780,15719,412.917,24142733.67580,0
1720872900000,58421.90,58636.40,58408.10,58604.40,2210.590,1720873799999,129447169.44430,24554,1510.991,88472026.48360,0
1720873800000,58604.40,58794.70,58604.10,58744.30,2042.236,1720874699999,119867652.88420,25194,1221.917,71719602.40060,0
1720874700000,58744.40,58873.10,58636.40,58742.60,4694.363,1720875599999,275877439.11650,47349,2134.356,125430634.95600,0
1720875600000,58742.60,58807.20,58585.80,58664.90,2147.950,1720876499999,126098154.87300,25408,923.607,54238657.80240,0
1720876500000,58665.00,58717.40,58628.00,58715.00,903.402,1720877399999,53006652.67580,13390,434.889,25518710.20040,0
1720877400000,58715.00,58779.60,58555.00,58577.10,1883.730,1720878299999,110429381.27620,21639,699.413,41011077.15560,0
1720878300000,58577.10,58647.10,58562.90,58588.20,1298.395,1720879199999,76083458.56550,14998,658.192,38573635.21290,0
1720879200000,58588.10,58618.50,58463.70,58484.30,1912.767,1720880099999,111945414.09600,24032,733.885,42954688.86960,0
1720880100000,58484.30,58556.60,58450.00,58496.40,1006.767,1720880999999,58894031.94760,16378,497.857,29124927.73090,0
1720881000000,58496.40,58660.00,58485.00,58650.00,1345.100,1720881899999,78812500.99120,17485,996.340,58381787.67370,0
1720881900000,58650.00,58783.80,58600.10,58780.30,1483.973,1720882799999,87113909.86010,20449,919.081,53959236.24810,0
1720882800000,58780.30,58789.80,58657.10,58770.10,1581.874,1720883699999,92910860.70670,21314,620.047,36424692.64890,0
1720883700000,58770.00,58794.50,58650.70,58754.80,1642.955,1720884599999,96489548.39140,19525,737.085,43294923.72220,0
1720884600000,58754.80,58842.70,58690.70,58767.30,2616.307,1720885499999,153798314.97010,25513,1592.671,93634184.52260,0
1720885500000,58767.30,58822.40,58693.30,58808.50,2154.598,1720886399999,126588643.26380,21097,1125.887,66147028.78560,0
1720886400000,58808.50,58940.70,58749.60,58825.00,3473.106,1720887299999,204327078.24680,32189,2059.741,121190971.63500,0
1720887300000,58825.00,58950.00,58628.80,58705.90,3979.182,1720888199999,233846976.33650,44601,1643.213,96571825.90800,0
1720888200000,58705.90,58744.10,58609.80,58680.00,1714.229,1720889099999,100566621.59110,22668,799.322,46899575.35950,0
1720889100000,58680.00,58701.40,58569.20,58593.90,1008.698,1720889999999,59133678.57160,15151,387.157,22696915.74120,0
1720890000000,58593.80,58635.20,58579.80,58617.80,729.956,1720890899999,42788242.51190,11364,384.615,22544925.85180,0
1720890900000,58617.80,58664.70,58555.00,58575.50,775.843,1720891799999,45475291.66760,11927,367.312,21532649.16160,0
1720891800000,58575.50,58636.80,58538.90,58636.30,578.682,1720892699999,33902654.57930,11162,337.191,19756735.37340,0
1720892700000,58636.20,58686.30,58610.60,58686.30,396.072,1720893599999,23230253.77670,10145,272.530,15984627.39930,0
1720893600000,58686.30,58786.00,58659.40,58678.60,1155.716,1720894499999,67874392.01440,16439,631.616,37098694.04880,0
1720894500000,58678.60,58688.70,58588.90,58597.90,703.243,1720895399999,41229662.61680,11191,212.535,12460041.62850,0
1720895400000,58597.90,58638.90,58545.40,58582.00,760.250,1720896299999,44537830.62890,11349,342.070,20040461.67010,0
1720896300000,58582.00,58635.00,58545.00,58615.60,465.466,1720897199999,27276212.99260,7949,293.009,17172285.65940,0
1720897200000,58615.60,58719.10,58606.00,58659.30,761.572,1720898099999,44668960.33390,9677,520.778,30543646.26390,0
1720898100000,58659.30,58680.00,58627.40,58639.40,300.853,1720898999999,17646279.56900,6326,131.136,7691631.95530,0
1720899000000,58639.40,58658.20,58575.50,58602.10,394.764,1720899899999,23140517.21920,7774,133.926,7850792.01230,0
